challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
s-F2F-2,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,38,100,0.1,0,12,1,0.5,0.98137,0.20226,0.12901,0.99075
s-F2F-2,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,38,100,0.1,0,12,1,0.5,0.9164,0.42741,0.24558,0.95739
s-F2F-2,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,146,100,0.2,0,3,1,0.5,0.91142,0.42739,0.29506,0.95563
s-F2F-2,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,146,100,0.2,0,3,1,0.5,0.54028,0.9447,0.68479,0.75814
s-F2F-2,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,208,50,0.2,1,6,3,0.5,0.94719,0.36298,0.24672,0.97365
s-F2F-2,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,208,50,0.2,1,6,3,0.5,0.61017,0.95486,0.6861,0.79952
s-F2F-2,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,323,100,0.3,0,9,5,1.0,0.98662,0.18907,0.11062,0.9933
s-F2F-2,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,323,100,0.3,0,9,5,1.0,0.93528,0.41498,0.23785,0.96724
s-F2F-2,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.98175,0.20019,0.12108,0.99087
s-F2F-2,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.91744,0.42527,0.2431,0.95808
s-F2F-2,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,147,100,0.2,0,3,1,1.0,0.92766,0.42481,0.29449,0.96391
s-F2F-2,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,147,100,0.2,0,3,1,1.0,0.63428,0.92692,0.69166,0.81149
s-F2F-2,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,340,50,0.3,1,3,3,0.5,0.89072,0.47513,0.3332,0.94468
s-F2F-2,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,340,50,0.3,1,3,3,0.5,0.57221,0.90719,0.66926,0.77413
s-F2F-2,mol2vec,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,167,100,0.2,0,6,5,1.0,0.98347,0.19054,0.10796,0.99171
s-F2F-2,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,167,100,0.2,0,6,5,1.0,0.92262,0.41185,0.2318,0.96061
s-F2F-2,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.98351,0.20991,0.12463,0.99175
s-F2F-2,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.93574,0.41363,0.23697,0.9674
s-F2F-2,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,55,100,0.1,1,3,3,1.0,0.92636,0.38951,0.26947,0.96388
s-F2F-2,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,55,100,0.1,1,3,3,1.0,0.55556,0.92958,0.67701,0.76518
s-F2F-2,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,43,100,0.1,0,12,3,1.0,0.98868,0.16786,0.09168,0.99433
s-F2F-2,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,43,100,0.1,0,12,3,1.0,0.62016,0.94186,0.68552,0.79875
