challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,82,100,0.1,1,9,5,0.5,0.93638,0.40933,0.28188,0.96797
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,82,100,0.1,1,9,5,0.5,0.63044,0.98006,0.76112,0.80303
t-A2A,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,58,100,0.1,1,3,5,0.5,0.78126,0.64233,0.4662,0.88436
t-A2A,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,58,100,0.1,1,3,5,0.5,0.51295,0.9543,0.73159,0.73483
t-C2C,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,90,100,0.1,1,12,3,0.5,0.92522,0.54786,0.35585,0.96218
t-C2C,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,90,100,0.1,1,12,3,0.5,0.68883,1.09304,0.81468,0.83713
t-C2C,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.94631,0.46326,0.27164,0.97291
t-C2C,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.85141,0.76941,0.48017,0.92318
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,315,100,0.3,0,9,1,1.0,0.96196,0.29553,0.18617,0.98088
t-F2F,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,315,100,0.3,0,9,1,1.0,0.89406,0.49256,0.31189,0.94558
t-A2A,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.85338,0.54259,0.37851,0.92504
t-A2A,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.68887,0.77825,0.5686,0.83178
t-C2C,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.93125,0.49256,0.29714,0.96524
t-C2C,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.83405,0.76392,0.48266,0.91362
t-A2A,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.85835,0.54551,0.38077,0.92781
t-A2A,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.70434,0.77587,0.56257,0.84109
t-F2F,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,43,100,0.1,0,12,3,1.0,0.9648,0.30826,0.19767,0.9824
t-F2F,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,43,100,0.1,0,12,3,1.0,0.90873,0.49564,0.31603,0.9533
t-A2A,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,204,50,0.2,1,6,1,0.5,0.81479,0.60489,0.43471,0.90309
t-A2A,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,204,50,0.2,1,6,1,0.5,0.49335,0.99637,0.74003,0.71326
t-F2F,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,299,100,0.3,0,3,5,1.0,0.84245,0.59301,0.4217,0.9187
t-F2F,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,299,100,0.3,0,3,5,1.0,0.59552,0.94512,0.72604,0.77992
t-F2F,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,295,100,0.3,0,3,3,1.0,0.86725,0.59134,0.42167,0.93188
t-F2F,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,295,100,0.3,0,3,3,1.0,0.63934,0.9692,0.75361,0.80667
