challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
s-F2F-2,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,5,0.0001,0.81389,0.70523,0.52541,0.90215
s-F2F-2,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,5,0.0001,0.78486,0.75708,0.56074,0.88624
s-F2F-2,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,5,0.0001,0.77588,0.70168,0.52295,0.88083
s-F2F-2,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,5,0.0001,0.74127,0.75283,0.55774,0.86144
s-F2F-2,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.71135,0.84757,0.62539,0.84329
s-F2F-2,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.53171,1.04472,0.76537,0.74184
s-F2F-2,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.6534,0.84522,0.62437,0.8081
s-F2F-2,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.44736,1.03686,0.75314,0.68439
s-F2F-2,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.88431,0.55601,0.39779,0.94038
s-F2F-2,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.845,0.64302,0.44912,0.91975
s-F2F-2,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.8686,0.53727,0.38523,0.93199
s-F2F-2,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.81153,0.64288,0.44375,0.90189
s-F2F-2,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.87605,0.55479,0.3832,0.93595
s-F2F-2,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.49881,1.07268,0.78661,0.74435
s-F2F-2,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.85277,0.55046,0.38109,0.92342
s-F2F-2,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.40091,1.06761,0.78162,0.69117
s-F2F-2,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.87824,0.57043,0.40421,0.93715
s-F2F-2,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.8243,0.68435,0.46695,0.90914
s-F2F-2,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.84063,0.59172,0.42105,0.91686
s-F2F-2,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.78789,0.68189,0.47324,0.88865
s-F2F-2,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.742,0.72989,0.52056,0.86134
s-F2F-2,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.4062,1.07508,0.75774,0.67871
s-F2F-2,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.78503,0.73205,0.52248,0.88598
s-F2F-2,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.51035,1.07299,0.75767,0.7418
s-F2F-2,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,7,0.00025,0.83877,0.65639,0.47895,0.91584
s-F2F-2,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,7,0.00025,0.81115,0.70928,0.51157,0.90097
s-F2F-2,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.80251,0.65867,0.48226,0.89583
s-F2F-2,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.77257,0.70584,0.51172,0.87937
s-F2F-2,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.77916,0.74085,0.53727,0.8826
s-F2F-2,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.6011,0.96708,0.71159,0.79135
s-F2F-2,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,14,0.00631,0.76065,0.70243,0.50769,0.87207
s-F2F-2,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,14,0.00631,0.5042,0.98243,0.71594,0.73882
