challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-C2C,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.94994,0.44738,0.25968,0.97505
t-C2C,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.85221,0.76729,0.47927,0.92349
t-C2C,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.94152,0.45478,0.26083,0.9706
t-C2C,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.66848,1.06035,0.77829,0.82813
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.95991,0.2991,0.17834,0.97989
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.56216,0.98249,0.74998,0.76604
t-A2A,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,106,150,100,sqrt,1.0,1,10,0.79679,0.63347,0.45882,0.89551
t-A2A,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,106,150,100,sqrt,1.0,1,10,0.4268,1.06763,0.85039,0.73096
t-A2A,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,149,100,200,sqrt,0.25,1,5,0.72755,0.71874,0.53344,0.8603
t-A2A,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,149,100,200,sqrt,0.25,1,5,0.44988,1.02829,0.81894,0.74131
t-F2F,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96617,0.29844,0.17775,0.98305
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.62041,0.99313,0.7643,0.80185
t-C2C,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.93107,0.52579,0.32557,0.96541
t-C2C,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.70208,1.06761,0.78499,0.85081
t-A2A,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.83281,0.57928,0.42085,0.91526
t-A2A,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.67617,0.79687,0.58614,0.82388
t-A2A,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,172,50,200,sqrt,1.0,1,5,0.83571,0.58728,0.42682,0.91668
t-A2A,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,172,50,200,sqrt,1.0,1,5,0.68594,0.80095,0.58897,0.83029
t-C2C,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.94322,0.44761,0.26,0.97172
t-C2C,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.83372,0.76456,0.4803,0.91344
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96394,0.28774,0.17616,0.98208
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.8897,0.5026,0.31642,0.9433
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96931,0.28786,0.17623,0.98473
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.90616,0.50274,0.31677,0.95197
t-C2C,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.94986,0.44772,0.26053,0.97504
