challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
t-F2F,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.47007,1.07637,0.8331,0.71705
t-F2F,pcp,occurrence,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.79199,0.74025,0.53697,0.89003
t-F2F,pcp,occurrence,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.55185,1.08032,0.83162,0.75469
t-F2F,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.86128,0.60451,0.42696,0.9281
t-F2F,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.56992,1.0569,0.80734,0.77483
t-C2C,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.8571,0.75723,0.4992,0.92592
t-C2C,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.67869,1.11204,0.80132,0.82678
t-C2C,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85704,0.71141,0.45535,0.92597
t-C2C,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.61326,1.13908,0.81907,0.79012
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.82705,0.63011,0.44582,0.90951
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.80516,0.66817,0.47043,0.89735
t-F2F,Morgan,totallyrandom,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.8518,0.63253,0.44763,0.92298
t-F2F,Morgan,totallyrandom,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.83311,0.67062,0.47101,0.91281
t-C2C,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.80496,0.82945,0.56602,0.89767
t-C2C,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.76831,0.90239,0.62082,0.87696
t-F2F,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85683,0.62171,0.43789,0.92572
t-F2F,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.83988,0.65692,0.4617,0.91649
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.83289,0.6194,0.43671,0.9127
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.81074,0.65866,0.46234,0.90047
t-C2C,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.83564,0.81076,0.54746,0.91434
t-C2C,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.8007,0.89113,0.6076,0.89513
t-C2C,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.80671,0.82749,0.563,0.8984
t-C2C,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.61396,1.15326,0.83558,0.79107
t-F2F,Morgan,occurrence,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.79919,0.72718,0.52393,0.89406
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.52639,1.10885,0.86237,0.74436
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.77186,0.71347,0.50978,0.87867
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.45272,1.09811,0.83679,0.70136
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.76003,0.73184,0.52674,0.87192
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.45078,1.10072,0.85618,0.70249
t-F2F,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.80542,0.71576,0.51146,0.89752
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.55034,1.08153,0.84497,0.75741
t-C2C,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.8725,0.71512,0.45991,0.93422
t-C2C,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.66854,1.13164,0.81387,0.82359
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.82251,0.63833,0.45183,0.90701
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.80431,0.66978,0.47189,0.89688
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.85036,0.63559,0.44995,0.9222
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.83427,0.66841,0.47077,0.91342
t-C2C,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.83412,0.76521,0.51298,0.91356
t-C2C,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.7876,0.8648,0.58613,0.8877
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.8254,0.63314,0.44769,0.90859
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.80609,0.6667,0.46983,0.89785
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85204,0.63201,0.44691,0.92311
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.83556,0.66577,0.46907,0.91412
t-C2C,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85309,0.76653,0.51495,0.92384
t-C2C,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.81189,0.86641,0.58827,0.90125
t-C2C,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.76193,0.9184,0.64498,0.87295
t-C2C,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.61759,1.14676,0.835,0.78698
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.84734,0.63415,0.44967,0.92054
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.56234,1.06459,0.82593,0.76865
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.81757,0.6381,0.45267,0.90425
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.51483,1.03216,0.7917,0.75134
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.84513,0.63871,0.45383,0.91935
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.56726,1.05663,0.80007,0.77649
t-C2C,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.78934,0.9195,0.64757,0.8885
t-C2C,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.65913,1.14652,0.8387,0.81455
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.81945,0.63484,0.4497,0.90529
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.46699,1.07641,0.81251,0.72039
t-C2C,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.86198,0.74298,0.48652,0.92869
t-C2C,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.81725,0.85349,0.57269,0.90434
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.85711,0.6211,0.43893,0.92588
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.83744,0.66195,0.46473,0.91514
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.86617,0.60109,0.41972,0.93074
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.84752,0.64104,0.44668,0.92065
t-C2C,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.84391,0.74229,0.48611,0.91899
t-C2C,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.79331,0.85275,0.57253,0.89104
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.84265,0.60104,0.4194,0.91804
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.82067,0.64113,0.4468,0.90594
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.83133,0.62229,0.43908,0.91188
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.8099,0.66006,0.46321,0.9
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.78976,0.74388,0.53396,0.88876
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.59568,1.02657,0.79865,0.77982
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.83722,0.65482,0.46533,0.91505
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.59508,1.02377,0.77662,0.78306
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.75352,0.7417,0.53487,0.86813
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.51028,1.03747,0.80431,0.73239
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.79513,0.67609,0.48279,0.89179
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.52882,1.01925,0.76672,0.7383
t-C2C,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.83805,0.75736,0.49871,0.91564
t-C2C,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.61286,1.14835,0.8296,0.7927
t-C2C,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.85579,0.76068,0.50195,0.92522
t-C2C,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.64821,1.16329,0.84302,0.81328
t-F2F,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.86805,0.59684,0.41599,0.93174
t-F2F,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85009,0.63565,0.44282,0.92203
t-F2F,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.84266,0.60103,0.41924,0.91805
t-F2F,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.82102,0.64042,0.4468,0.90614
t-F2F,Mordred,totallyrandom,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.8295,0.62554,0.44175,0.91085
t-F2F,Mordred,totallyrandom,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.81015,0.65953,0.46343,0.90013
t-C2C,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85775,0.75421,0.49258,0.92634
t-C2C,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.81326,0.86303,0.57415,0.90201
t-F2F,Mordred,totallyrandom,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.85102,0.63414,0.4491,0.92257
t-F2F,Mordred,totallyrandom,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.83627,0.66381,0.4688,0.91451
t-C2C,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.83984,0.75194,0.49143,0.9167
t-C2C,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.79094,0.85773,0.57237,0.88967
t-C2C,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.87058,0.72039,0.45977,0.93318
t-C2C,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.67923,1.10712,0.79353,0.82934
